0.000000000000000000e+00,0.000000000000000000e+00,3.985830373023900065e-04,5.536055416918674033e-02
5.515689785984115856e-01,6.007760183980468405e-01,8.359932514905536868e-04,4.878145718417880444e-02
1.871331035118008190e-02,2.249007969661122319e-01,3.097079649002448982e-03,7.308894725582178176e-02
5.906260083126131655e-02,1.920168470539478922e-01,2.024453883962301637e-02,1.710623880469437363e-01
1.427464348690063564e-04,2.704863240558968290e-02,0.000000000000000000e+00,7.427040179064656189e-02
2.507411798269201797e-01,4.079270820022352639e-01,1.190832324876958410e-03,7.654108450654951989e-02
1.597582340160277892e-01,2.907306923593464543e-01,5.741874590841619663e-03,1.249546107913565296e-01
2.498660050987947683e-04,3.490414600402096112e-02,1.199532252880867783e-04,1.102375506308670289e-01
3.631400965386553242e-02,2.287561512857407553e-01,1.507246124292785329e-03,9.675859856116766911e-02
0.000000000000000000e+00,3.645912140453762967e-02,7.839900969671962424e-04,1.965858325553331010e-01
3.113289631884341713e-03,5.955856450282311088e-02,1.645589330457372657e-02,1.555781557966751938e-01
0.000000000000000000e+00,4.064993456138752542e-02,3.507324118011140713e-04,2.053815828027450441e-01
0.000000000000000000e+00,1.090542586414167646e-02,0.000000000000000000e+00,3.924331819169574881e-02
3.403094513451687154e-04,1.102553220431385372e-01,6.132764731693965150e-05,1.310530982816191514e-01
3.459003733118179869e-04,4.683887248072036991e-02,1.076890018850944035e-02,2.319093559725454723e-01
3.985830373023900065e-04,5.536055416918674033e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.696747619287164097e-02,1.359290127755717892e-01,1.162291317436176669e-02,1.459776667535589989e-01
0.000000000000000000e+00,3.526724438472040452e-02,8.252527336496801838e-05,2.013888541498043694e-01
3.822218524309315720e-05,3.822229317485724420e-02,5.694243862182793783e-03,1.992309040524309072e-01
0.000000000000000000e+00,3.217896618655270713e-02,8.000722309969643745e-04,1.897586210398399531e-01
2.394736070320110238e-02,8.196163857698526845e-02,0.000000000000000000e+00,7.882819213091551980e-02
8.566968090380445641e-03,1.422036986227727950e-01,3.356279606237235532e-03,1.816010086682606495e-01
2.721963265089176549e-05,4.984205494601205710e-02,1.617203716834926704e-03,2.175522268329531661e-01
5.443926530178353097e-05,3.400074521406671463e-02,4.272409362692647632e-04,1.621460723961625217e-01
1.676029971343026841e-04,3.080009531598910597e-02,1.261574950167789325e-05,9.780741501216752565e-02
0.000000000000000000e+00,4.115038147888977482e-02,1.885537504118205143e-04,3.211144347711197278e-01
9.974484736327154672e-04,1.225907046986852711e-01,3.474835720163437901e-03,1.182397943709609933e-01
1.803951224528761233e-04,4.001981386914783140e-02,9.585337873333058846e-04,1.721640303489126167e-01
4.303246524078440521e-03,1.238100258921658869e-01,8.145674204092245591e-04,1.439393212256956378e-01
3.063077969097874418e-03,1.087671380535394638e-01,3.507324118011140713e-04,1.445703814905178186e-01
2.069580044835205829e-05,5.768838201438187402e-02,9.598241049566154110e-04,1.940317947447411373e-01
7.784225068971325264e-04,7.018378311294434790e-02,1.115451417311080773e-01,4.725033479767867806e-01
1.852919734018811787e-04,5.454691117275337758e-02,5.921503738598870442e-02,3.203933339160194849e-01
0.000000000000000000e+00,3.901484240532320652e-02,1.444192283886940389e-04,2.338228937539383601e-01
9.170620652160482288e-04,5.917567350860433034e-02,9.963135492576366548e-02,4.814295734313697728e-01
5.371741271303241753e-05,6.230703266844424965e-02,2.891862762015121610e-04,1.377577299603803818e-01
1.581032684388615939e-04,8.490555722756515378e-02,1.015355626248058522e-02,2.542145200884472489e-01
0.000000000000000000e+00,4.139477001698551456e-02,1.006464156678600792e-02,3.544471512208888231e-01
1.041102736017990310e-05,4.595394543441647800e-02,4.126263668248400919e-05,3.628618016661556145e-01
0.000000000000000000e+00,4.137981193577397465e-02,3.189179292583701076e-03,3.391125985172659396e-01
1.146820579913039031e-03,4.126261754091319761e-02,3.377614756079605745e-03,3.130847880491395840e-01
0.000000000000000000e+00,6.151805007839178385e-02,1.214464427101694978e-02,3.419153632493671657e-01
4.887857573025834257e-04,7.865041220463772631e-02,4.951516401898081645e-04,1.892851532914151536e-01
0.000000000000000000e+00,3.828902357769447401e-02,1.283179351811115844e-04,2.246022234507547843e-01
1.543556522289837862e-03,1.108140231181292540e-01,9.765078045865781828e-04,1.945195392116971789e-01
1.335588994746683157e-04,5.673346793557180329e-02,3.471086281682090159e-04,1.663773651898518002e-01
1.509342832130890266e-05,3.376485570484491494e-02,0.000000000000000000e+00,2.838069252585551094e-01
0.000000000000000000e+00,4.365969065787093234e-02,6.375077367443780091e-03,2.985053831411705327e-01
0.000000000000000000e+00,4.338834034005138729e-02,4.806115564480407313e-04,2.833339697199325213e-01
2.452783909737551939e-04,5.315085941717428292e-02,5.133285228737587916e-04,3.729902062318409817e-01
0.000000000000000000e+00,3.629368213520531294e-02,6.189395502372602056e-05,2.915396201597548198e-01
3.850893407270486929e-05,1.542201122405575421e-02,1.237879100474520411e-04,6.954308014845320129e-02
0.000000000000000000e+00,4.275401496329164081e-02,4.703940581803177021e-03,2.783673967292787932e-01
0.000000000000000000e+00,5.739235903331355720e-02,1.078256816062981432e-02,3.343549714711852583e-01
0.000000000000000000e+00,4.477401494820133082e-02,4.059154020100159271e-02,3.241339184355826464e-01
